station_id,state,date,datatype,value
GHCND:USC00010063,AL,2020-03-25T00:00:00,PRCP,249
GHCND:USC00010063,AL,2020-03-25T00:00:00,TMAX,244
GHCND:USC00010063,AL,2020-03-25T00:00:00,TMIN,111
GHCND:USC00010063,AL,2020-03-26T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-26T00:00:00,TMAX,183
GHCND:USC00010063,AL,2020-03-26T00:00:00,TMIN,67
GHCND:USC00010063,AL,2020-03-27T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-27T00:00:00,TMAX,272
GHCND:USC00010063,AL,2020-03-27T00:00:00,TMIN,83
GHCND:USC00010063,AL,2020-03-28T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-28T00:00:00,TMAX,289
GHCND:USC00010063,AL,2020-03-28T00:00:00,TMIN,183
GHCND:USC00010063,AL,2020-03-29T00:00:00,PRCP,170
GHCND:USC00010063,AL,2020-03-29T00:00:00,TMAX,272
GHCND:USC00010063,AL,2020-03-29T00:00:00,TMIN,156
GHCND:USC00010063,AL,2020-03-30T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-03-30T00:00:00,TMAX,244
GHCND:USC00010063,AL,2020-03-30T00:00:00,TMIN,128
GHCND:USC00010063,AL,2020-03-31T00:00:00,PRCP,160
GHCND:USC00010063,AL,2020-03-31T00:00:00,TMAX,206
GHCND:USC00010063,AL,2020-03-31T00:00:00,TMIN,94
GHCND:USC00010063,AL,2020-04-01T00:00:00,PRCP,104
GHCND:USC00010063,AL,2020-04-01T00:00:00,TMAX,122
GHCND:USC00010063,AL,2020-04-01T00:00:00,TMIN,22
GHCND:USC00010063,AL,2020-04-02T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-02T00:00:00,TMAX,161
GHCND:USC00010063,AL,2020-04-02T00:00:00,TMIN,11
GHCND:USC00010063,AL,2020-04-03T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-03T00:00:00,TMAX,200
GHCND:USC00010063,AL,2020-04-03T00:00:00,TMIN,11
GHCND:USC00010063,AL,2020-04-04T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-04T00:00:00,TMAX,239
GHCND:USC00010063,AL,2020-04-04T00:00:00,TMIN,61
GHCND:USC00010063,AL,2020-04-05T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-06T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-06T00:00:00,TMAX,256
GHCND:USC00010063,AL,2020-04-06T00:00:00,TMIN,100
GHCND:USC00010063,AL,2020-04-07T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-07T00:00:00,TMAX,278
GHCND:USC00010063,AL,2020-04-07T00:00:00,TMIN,100
GHCND:USC00010063,AL,2020-04-08T00:00:00,PRCP,15
GHCND:USC00010063,AL,2020-04-08T00:00:00,TMAX,222
GHCND:USC00010063,AL,2020-04-08T00:00:00,TMIN,150
GHCND:USC00010063,AL,2020-04-10T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-10T00:00:00,TMAX,222
GHCND:USC00010063,AL,2020-04-10T00:00:00,TMIN,67
GHCND:USC00010063,AL,2020-04-11T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-11T00:00:00,TMAX,139
GHCND:USC00010063,AL,2020-04-11T00:00:00,TMIN,0
GHCND:USC00010063,AL,2020-04-12T00:00:00,PRCP,8
GHCND:USC00010063,AL,2020-04-12T00:00:00,TMAX,206
GHCND:USC00010063,AL,2020-04-12T00:00:00,TMIN,0
GHCND:USC00010063,AL,2020-04-13T00:00:00,PRCP,902
GHCND:USC00010063,AL,2020-04-13T00:00:00,TMAX,194
GHCND:USC00010063,AL,2020-04-13T00:00:00,TMIN,117
GHCND:USC00010063,AL,2020-04-14T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-14T00:00:00,TMAX,150
GHCND:USC00010063,AL,2020-04-14T00:00:00,TMIN,44
GHCND:USC00010063,AL,2020-04-15T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-15T00:00:00,TMAX,139
GHCND:USC00010063,AL,2020-04-15T00:00:00,TMIN,6
GHCND:USC00010063,AL,2020-04-16T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-16T00:00:00,TMAX,144
GHCND:USC00010063,AL,2020-04-16T00:00:00,TMIN,-11
GHCND:USC00010063,AL,2020-04-17T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-17T00:00:00,TMAX,189
GHCND:USC00010063,AL,2020-04-17T00:00:00,TMIN,6
GHCND:USC00010063,AL,2020-04-18T00:00:00,PRCP,56
GHCND:USC00010063,AL,2020-04-18T00:00:00,TMAX,239
GHCND:USC00010063,AL,2020-04-18T00:00:00,TMIN,72
GHCND:USC00010063,AL,2020-04-19T00:00:00,PRCP,33
GHCND:USC00010063,AL,2020-04-19T00:00:00,TMAX,161
GHCND:USC00010063,AL,2020-04-19T00:00:00,TMIN,67
GHCND:USC00010063,AL,2020-04-20T00:00:00,PRCP,318
GHCND:USC00010063,AL,2020-04-20T00:00:00,TMAX,167
GHCND:USC00010063,AL,2020-04-20T00:00:00,TMIN,89
GHCND:USC00010063,AL,2020-04-21T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-21T00:00:00,TMAX,217
GHCND:USC00010063,AL,2020-04-21T00:00:00,TMIN,89
GHCND:USC00010063,AL,2020-04-22T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-22T00:00:00,TMAX,244
GHCND:USC00010063,AL,2020-04-22T00:00:00,TMIN,56
GHCND:USC00010063,AL,2020-04-23T00:00:00,PRCP,320
GHCND:USC00010063,AL,2020-04-23T00:00:00,TMAX,183
GHCND:USC00010063,AL,2020-04-23T00:00:00,TMIN,72
GHCND:USC00010063,AL,2020-04-24T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-24T00:00:00,TMAX,200
GHCND:USC00010063,AL,2020-04-24T00:00:00,TMIN,128
GHCND:USC00010063,AL,2020-04-25T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-25T00:00:00,TMAX,222
GHCND:USC00010063,AL,2020-04-25T00:00:00,TMIN,128
GHCND:USC00010063,AL,2020-04-26T00:00:00,PRCP,15
GHCND:USC00010063,AL,2020-04-26T00:00:00,TMAX,228
GHCND:USC00010063,AL,2020-04-26T00:00:00,TMIN,72
GHCND:USC00010063,AL,2020-04-27T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-27T00:00:00,TMAX,167
GHCND:USC00010063,AL,2020-04-27T00:00:00,TMIN,17
GHCND:USC00010063,AL,2020-04-28T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-04-28T00:00:00,TMAX,217
GHCND:USC00010063,AL,2020-04-28T00:00:00,TMIN,17
GHCND:USC00010063,AL,2020-04-29T00:00:00,PRCP,8
GHCND:USC00010063,AL,2020-04-29T00:00:00,TMAX,239
GHCND:USC00010063,AL,2020-04-29T00:00:00,TMIN,100
GHCND:USC00010063,AL,2020-04-30T00:00:00,PRCP,20
GHCND:USC00010063,AL,2020-04-30T00:00:00,TMAX,222
GHCND:USC00010063,AL,2020-04-30T00:00:00,TMIN,94
GHCND:USC00010063,AL,2020-05-01T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-05-01T00:00:00,TMAX,211
GHCND:USC00010063,AL,2020-05-01T00:00:00,TMIN,50
GHCND:USC00010063,AL,2020-05-02T00:00:00,PRCP,0
GHCND:USC00010063,AL,2020-05-02T00:00:00,TMAX,261
